munid,regiao,uf,municipio,latitude,longitude
5208004,Centro-Oeste,GO,Formosa,-15.540945,-47.335816
5208103,Centro-Oeste,GO,Formoso,-13.655780,-48.888090
5208152,Centro-Oeste,GO,Gameleira de Goiás,-16.482737,-48.645705
5208301,Centro-Oeste,GO,Divinópolis de Goiás,-13.296813,-46.393889
5208400,Centro-Oeste,GO,Goianápolis,-16.500682,-49.017342
5208509,Centro-Oeste,GO,Goiandira,-18.132625,-48.088471
5208608,Centro-Oeste,GO,Goianésia,-15.322289,-49.115810
5208707,Centro-Oeste,GO,Goiânia,-16.673310,-49.255814
5208806,Centro-Oeste,GO,Goianira,-16.503192,-49.428777
5208905,Centro-Oeste,GO,Goiás,-15.935743,-50.141384
5209101,Centro-Oeste,GO,Goiatuba,-18.010633,-49.366643
5209150,Centro-Oeste,GO,Gouvelândia,-18.438279,-50.137999
5209200,Centro-Oeste,GO,Guapó,-16.831323,-49.536733
5209291,Centro-Oeste,GO,Guaraíta,-15.629428,-50.031778
5209408,Centro-Oeste,GO,Guarani de Goiás,-13.938911,-46.480376
5209457,Centro-Oeste,GO,Guarinos,-14.733740,-49.701188
5209606,Centro-Oeste,GO,Heitoraí,-15.720216,-49.829340
5209705,Centro-Oeste,GO,Hidrolândia,-16.960945,-49.229784
5209804,Centro-Oeste,GO,Hidrolina,-14.727658,-49.459897
5209903,Centro-Oeste,GO,Iaciara,-14.100818,-46.631968
5209937,Centro-Oeste,GO,Inaciolândia,-18.486355,-49.987578
5209952,Centro-Oeste,GO,Indiara,-17.137261,-49.989053
5210000,Centro-Oeste,GO,Inhumas,-16.359960,-49.500225
5210109,Centro-Oeste,GO,Ipameri,-17.722177,-48.158668
5210158,Centro-Oeste,GO,Ipiranga de Goiás,-15.172012,-49.667405
5210208,Centro-Oeste,GO,Iporá,-16.440003,-51.119595
5210307,Centro-Oeste,GO,Israelândia,-16.312801,-50.903440
5210406,Centro-Oeste,GO,Itaberaí,-16.021130,-49.803479
5210562,Centro-Oeste,GO,Itaguari,-15.909094,-49.609760
5210604,Centro-Oeste,GO,Itaguaru,-15.763794,-49.632051
5210802,Centro-Oeste,GO,Itajá,-19.062235,-51.544684
5210901,Centro-Oeste,GO,Itapaci,-14.950403,-49.554156
5211008,Centro-Oeste,GO,Itapirapuã,-15.818862,-50.609163
5211206,Centro-Oeste,GO,Itapuranga,-15.562331,-49.944493
5211305,Centro-Oeste,GO,Itarumã,-18.761660,-51.348890
5211404,Centro-Oeste,GO,Itauçu,-16.203347,-49.601134
5215231,Centro-Oeste,GO,Novo Gama,-16.056078,-48.037211
5211503,Centro-Oeste,GO,Itumbiara,-18.417682,-49.220870
5211602,Centro-Oeste,GO,Ivolândia,-16.603403,-50.794701
5211701,Centro-Oeste,GO,Jandaia,-17.049421,-50.148008
5211800,Centro-Oeste,GO,Jaraguá,-15.753114,-49.330144
5211909,Centro-Oeste,GO,Jataí,-17.886232,-51.720818
5212006,Centro-Oeste,GO,Jaupaci,-16.178036,-50.951719
5212055,Centro-Oeste,GO,Jesúpolis,-15.951598,-49.376219
5212105,Centro-Oeste,GO,Joviânia,-17.807109,-49.629940
5212204,Centro-Oeste,GO,Jussara,-15.866349,-50.866127
5212253,Centro-Oeste,GO,Lagoa Santa,-19.183607,-51.404616
5212303,Centro-Oeste,GO,Leopoldo de Bulhões,-16.618965,-48.746452
5212501,Centro-Oeste,GO,Luziânia,-16.258541,-47.955720
5212600,Centro-Oeste,GO,Mairipotaba,-17.297395,-49.500880
5212709,Centro-Oeste,GO,Mambaí,-14.487534,-46.113947
